command,epochs,fold,history_found,history_path,log_path,method,model_found,model_path,returncode,run_name,seed,status,test_metrics_found,test_metrics_path,timestamp
/usr/bin/python3 /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/fine_tune.py --train-csv /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp1/train.csv --val-csv /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp1/validation.csv --test-csv /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp1/test.csv --models-dir /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/models --results-dir /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/raw_results --run-name seedrep_fp1_random_seed1 --seed 1 --epochs 20 --freeze-epochs 0 --encoder-lr-scale 1.0 --threshold 0.5 --num-workers 0,20,fp1,True,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/raw_results/seedrep_fp1_random_seed1_metrics.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/logs/seedrep_fp1_random_seed1.log,random,True,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/models/seedrep_fp1_random_seed1_best.pt,,seedrep_fp1_random_seed1,1,dry_run,True,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/raw_results/seedrep_fp1_random_seed1_test_metrics.csv,2026-07-21T16:33:45
/usr/bin/python3 /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/fine_tune.py --train-csv /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp1/train.csv --val-csv /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp1/validation.csv --test-csv /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp1/test.csv --models-dir /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/models --results-dir /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/raw_results --run-name seedrep_fp1_random_seed2 --seed 2 --epochs 20 --freeze-epochs 0 --encoder-lr-scale 1.0 --threshold 0.5 --num-workers 0,20,fp1,False,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/raw_results/seedrep_fp1_random_seed2_metrics.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/logs/seedrep_fp1_random_seed2.log,random,False,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/models/seedrep_fp1_random_seed2_best.pt,,seedrep_fp1_random_seed2,2,dry_run,False,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/raw_results/seedrep_fp1_random_seed2_test_metrics.csv,2026-07-21T16:33:45
/usr/bin/python3 /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/fine_tune.py --train-csv /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp1/train.csv --val-csv /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp1/validation.csv --test-csv /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp1/test.csv --models-dir /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/models --results-dir /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/raw_results --run-name seedrep_fp1_random_seed3 --seed 3 --epochs 20 --freeze-epochs 0 --encoder-lr-scale 1.0 --threshold 0.5 --num-workers 0,20,fp1,False,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/raw_results/seedrep_fp1_random_seed3_metrics.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/logs/seedrep_fp1_random_seed3.log,random,False,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/models/seedrep_fp1_random_seed3_best.pt,,seedrep_fp1_random_seed3,3,dry_run,False,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/raw_results/seedrep_fp1_random_seed3_test_metrics.csv,2026-07-21T16:33:45
/usr/bin/python3 /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/fine_tune.py --train-csv /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp1/train.csv --val-csv /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp1/validation.csv --test-csv /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp1/test.csv --models-dir /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/models --results-dir /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/raw_results --run-name seedrep_fp1_weak_simsiam_seed1 --seed 1 --epochs 20 --freeze-epochs 0 --encoder-lr-scale 1.0 --threshold 0.5 --num-workers 0 --pretrained-checkpoint /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/pretrain_weights/best_weak_simsiam_ssl.pth,20,fp1,True,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/raw_results/seedrep_fp1_weak_simsiam_seed1_metrics.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/logs/seedrep_fp1_weak_simsiam_seed1.log,weak_simsiam,True,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/models/seedrep_fp1_weak_simsiam_seed1_best.pt,,seedrep_fp1_weak_simsiam_seed1,1,dry_run,True,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/raw_results/seedrep_fp1_weak_simsiam_seed1_test_metrics.csv,2026-07-21T16:33:45
/usr/bin/python3 /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/fine_tune.py --train-csv /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp1/train.csv --val-csv /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp1/validation.csv --test-csv /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp1/test.csv --models-dir /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/models --results-dir /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/raw_results --run-name seedrep_fp1_weak_simsiam_seed2 --seed 2 --epochs 20 --freeze-epochs 0 --encoder-lr-scale 1.0 --threshold 0.5 --num-workers 0 --pretrained-checkpoint /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/pretrain_weights/best_weak_simsiam_ssl.pth,20,fp1,False,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/raw_results/seedrep_fp1_weak_simsiam_seed2_metrics.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/logs/seedrep_fp1_weak_simsiam_seed2.log,weak_simsiam,False,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/models/seedrep_fp1_weak_simsiam_seed2_best.pt,,seedrep_fp1_weak_simsiam_seed2,2,dry_run,False,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/raw_results/seedrep_fp1_weak_simsiam_seed2_test_metrics.csv,2026-07-21T16:33:45
/usr/bin/python3 /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/fine_tune.py --train-csv /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp1/train.csv --val-csv /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp1/validation.csv --test-csv /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp1/test.csv --models-dir /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/models --results-dir /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/raw_results --run-name seedrep_fp1_weak_simsiam_seed3 --seed 3 --epochs 20 --freeze-epochs 0 --encoder-lr-scale 1.0 --threshold 0.5 --num-workers 0 --pretrained-checkpoint /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/pretrain_weights/best_weak_simsiam_ssl.pth,20,fp1,False,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/raw_results/seedrep_fp1_weak_simsiam_seed3_metrics.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/logs/seedrep_fp1_weak_simsiam_seed3.log,weak_simsiam,False,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/models/seedrep_fp1_weak_simsiam_seed3_best.pt,,seedrep_fp1_weak_simsiam_seed3,3,dry_run,False,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/raw_results/seedrep_fp1_weak_simsiam_seed3_test_metrics.csv,2026-07-21T16:33:45
/usr/bin/python3 /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/fine_tune.py --train-csv /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp2/train.csv --val-csv /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp2/validation.csv --test-csv /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp2/test.csv --models-dir /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/models --results-dir /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/raw_results --run-name seedrep_fp2_random_seed1 --seed 1 --epochs 20 --freeze-epochs 0 --encoder-lr-scale 1.0 --threshold 0.5 --num-workers 0,20,fp2,False,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/raw_results/seedrep_fp2_random_seed1_metrics.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/logs/seedrep_fp2_random_seed1.log,random,False,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/models/seedrep_fp2_random_seed1_best.pt,,seedrep_fp2_random_seed1,1,dry_run,False,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/raw_results/seedrep_fp2_random_seed1_test_metrics.csv,2026-07-21T16:33:45
/usr/bin/python3 /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/fine_tune.py --train-csv /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp2/train.csv --val-csv /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp2/validation.csv --test-csv /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp2/test.csv --models-dir /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/models --results-dir /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/raw_results --run-name seedrep_fp2_random_seed2 --seed 2 --epochs 20 --freeze-epochs 0 --encoder-lr-scale 1.0 --threshold 0.5 --num-workers 0,20,fp2,False,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/raw_results/seedrep_fp2_random_seed2_metrics.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/logs/seedrep_fp2_random_seed2.log,random,False,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/models/seedrep_fp2_random_seed2_best.pt,,seedrep_fp2_random_seed2,2,dry_run,False,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/raw_results/seedrep_fp2_random_seed2_test_metrics.csv,2026-07-21T16:33:45
/usr/bin/python3 /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/fine_tune.py --train-csv /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp2/train.csv --val-csv /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp2/validation.csv --test-csv /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp2/test.csv --models-dir /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/models --results-dir /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/raw_results --run-name seedrep_fp2_random_seed3 --seed 3 --epochs 20 --freeze-epochs 0 --encoder-lr-scale 1.0 --threshold 0.5 --num-workers 0,20,fp2,False,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/raw_results/seedrep_fp2_random_seed3_metrics.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/logs/seedrep_fp2_random_seed3.log,random,False,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/models/seedrep_fp2_random_seed3_best.pt,,seedrep_fp2_random_seed3,3,dry_run,False,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/raw_results/seedrep_fp2_random_seed3_test_metrics.csv,2026-07-21T16:33:45
/usr/bin/python3 /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/fine_tune.py --train-csv /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp2/train.csv --val-csv /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp2/validation.csv --test-csv /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp2/test.csv --models-dir /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/models --results-dir /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/raw_results --run-name seedrep_fp2_weak_simsiam_seed1 --seed 1 --epochs 20 --freeze-epochs 0 --encoder-lr-scale 1.0 --threshold 0.5 --num-workers 0 --pretrained-checkpoint /mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/pretrain_weights/best_weak_simsiam_ssl.pth,20,fp2,False,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/raw_results/seedrep_fp2_weak_simsiam_seed1_metrics.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/logs/seedrep_fp2_weak_simsiam_seed1.log,weak_simsiam,False,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/models/seedrep_fp2_weak_simsiam_seed1_best.pt,,seedrep_fp2_weak_simsiam_seed1,1,dry_run,False,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/raw_results/seedrep_fp2_weak_simsiam_seed1_test_metrics.csv,2026-07-21T16:33:45
